HD001, KH003, NV002, 19/11/2023, 12:32, 1050.0, 1
HD002, KH002, NV008, 13/12/2023, 12:12, 1050.0, 1
HD003, KH003, NV009, 14/12/2023, 12:13, 1100.0, 1
HD004, KH003, NV004, 15/12/2023, 19:12, 1260.0, 1
HD005, KH004, NV005, 17/12/2023, 19:32, 1100.0, 1
HD006, KH007, NV012, 18/12/2023, 14:23, 1200.0, 1
HD007, KH001, NV002, 19/1/2023, 15:32, 700.0, 1
HD008, KH002, NV007, 20/8/2023, 21:03, 440.0, 1
HD009, KH004, NV008, 13/6/2023, 12:30, 370.0, 1
HD010, KH001, NV005, 25/5/2023, 20:13, 360.0, 1
HD011, KH007, NV013, 13/4/2023, 16:42, 1380.0, 1
HD012, KH001, NV002, 12/1/2023, 13:23, 650.0, 1
HD013, KH002, NV013, 19/3/2022, 20:21, 1170.0, 1
HD014, KH008, NV011, 23/3/2023, 17:28, 1430.0, 1
HD015, KH010, NV007, 21/4/2023, 14:41, 910.0, 1
HD016, KH018, NV016, 02/12/2022, 19:03, 1000.0, 1
HD017, KH015, NV009, 18/5/2023, 19:21, 880.0, 1
HD018, KH020, NV017, 23/2/2023, 08:23, 1130.0, 1
HD019, KH013, NV012, 15/6/2023, 13:09, 1420.0, 1
HD020, KH014, NV018, 09/7/2023, 15:25, 1240.0, 1
HD021, KH016, NV019, 02/09/2023, 11:30, 1830.0, 1
HD022, KH013, NV006, 20/10/2023, 12:39, 700.0, 1
HD023, KH002, NV017, 23/10/2023, 20:12, 820.0, 1
HD024, KH016, NV014, 09/04/2023, 19:21, 1260.0, 1
HD025, KH014, NV019, 03/02/2023, 07:52, 1910.0, 1
HD026, KH003, NV004, 23/2/2023, 09:52, 1380.0, 1
HD027, KH009, NV004, 08/03/2023, 12:23, 1610.0, 1
HD028, KH013, NV020, 05/12/2023, 18:23, 830.0, 1
HD029, KH006, NV012, 15/02/2023, 19:02, 1070.0, 1
HD030, KH008, NV005, 21/07/2022, 14:25, 1220.0, 1
HD031, KH004, NV012, 19/03/2023, 11:53, 4950.0, 0
HD032, KH012, NV006, 21/05/2023, 13:32, 2400.0, 1
HD033, KH005, NV011, 29/04/2023, 15:43, 900.0, 1
HD034, KH006, NV008, 18/04/2023, 08:32, 580.0, 1
HD035, KH016, NV014, 26/08/2023, 21:30, 2630.0, 1
